bench,alloc_type,total,bit_pos,p_one,entropy
parest,32bits,1784670,22,0.6215681330442042,0.956926965801033
parest,32bits,1784670,23,0.6217132579132276,0.956823009369431
parest,32bits,1784670,24,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,25,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,26,0.6215681330442042,0.956926965801033
parest,32bits,1784670,27,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,28,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,29,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,30,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,31,0.6215490819030969,0.9569406029990941
parest,32bits,1784670,32,0.0021045907646791845,0.021747621116031568
parest,32bits,1784670,33,0.0017796007104954978,0.018820418723734376
parest,32bits,1784670,34,0.0015790034011890154,0.016971642421490102
parest,32bits,1784670,35,0.0017297315470086907,0.018364011021668424
parest,32bits,1784670,36,0.001743739738999367,0.018492422748571824
parest,32bits,1784670,37,0.0016619318977738181,0.017740156704183958
parest,32bits,1784670,38,0.0017868849703306495,0.018886914598459124
parest,32bits,1784670,39,0.001538099480576241,0.016590280049469754
parest,32bits,1784670,40,0.002058643894949767,0.021338459534956923
parest,32bits,1784670,41,0.0013050031658513898,0.014385681842758303
parest,32bits,1784670,42,0.0007054525486504508,0.00840289177742888
parest,32bits,1784670,43,0.0009166960838698471,0.010572533191414213
parest,32bits,1784670,44,4.0343592933147307e-05,0.0006471098928337781
parest,32bits,1784670,45,0.0,0.0
parest,32bits,1784670,46,0.0,0.0
parest,32bits,1784670,47,0.0,0.0
parest,32bits,1784670,48,0.0,0.0
parest,32bits,1784670,49,0.0,0.0
parest,32bits,1784670,50,0.0,0.0
parest,32bits,1784670,51,0.0,0.0
parest,32bits,1784670,52,0.0,0.0
parest,32bits,1784670,53,0.0,0.0
parest,32bits,1784670,54,0.0,0.0
parest,32bits,1784670,55,0.0,0.0
parest,32bits,1784670,56,0.0,0.0
parest,32bits,1784670,57,0.0,0.0
parest,32bits,1784670,58,0.0,0.0
parest,32bits,1784670,59,0.0,0.0
parest,32bits,1784670,60,0.0,0.0
parest,32bits,1784670,61,0.0,0.0
parest,32bits,1784670,62,0.0,0.0
parest,32bits,1784670,63,0.0,0.0
parest,64bits,19195481,0,0.2665444017787312,0.8364622495510874
parest,64bits,19195481,1,0.3264039072529623,0.9112099933627238
parest,64bits,19195481,2,0.32683577973378214,0.911660785678085
parest,64bits,19195481,3,0.3576153158131333,0.9406859009795626
parest,64bits,19195481,4,0.33938352469521343,0.9242275584455955
parest,64bits,19195481,5,0.34552997135106955,0.9300124595478422
parest,64bits,19195481,6,0.3396022220021473,0.9244375500374375
parest,64bits,19195481,7,0.3515518053441849,0.9354463188217861
parest,64bits,19195481,8,0.3725658137975287,0.9526218390897614
parest,64bits,19195481,9,0.32285906250538865,0.9074635266825747
parest,64bits,19195481,10,0.3506152828366218,0.9346163550829522
parest,64bits,19195481,11,0.3243044547828731,0.9090011150561758
parest,64bits,19195481,12,0.362274433237698,0.9445549582376795
parest,64bits,19195481,13,0.35977473031282725,0.9424960396263349
parest,64bits,19195481,14,0.3558427632003595,0.9391781696299779
parest,64bits,19195481,15,0.32463463666266035,0.9093504269421824
parest,64bits,19195481,16,0.31258742617598384,0.896137654456268
parest,64bits,19195481,17,0.29972413819690163,0.8809534264057475
parest,64bits,19195481,18,0.3324991960347334,0.9174594372495067
parest,64bits,19195481,19,0.34942047037008345,0.9335494210887467
parest,64bits,19195481,20,0.33654478363944096,0.9214738597332364
parest,64bits,19195481,21,0.3292279052554088,0.9141355817149648
parest,64bits,19195481,22,0.38858229184254356,0.9638785546701054
parest,64bits,19195481,23,0.32803580175979963,0.9129069612682672
parest,64bits,19195481,24,0.36227214103152716,0.9445530881186199
parest,64bits,19195481,25,0.36981209275245563,0.9505277032372689
parest,64bits,19195481,26,0.340514624249322,0.9253103138833686
parest,64bits,19195481,27,0.35947090880400445,0.942243127251739
parest,64bits,19195481,28,0.3926617415838655,0.9664957989695593
parest,64bits,19195481,29,0.3980262333619043,0.9697842993918349
parest,64bits,19195481,30,0.37259800887510974,0.9526460455863088
parest,64bits,19195481,31,0.37185330234756814,0.9520844856806461
parest,64bits,19195481,32,0.37433524067461504,0.9539427377790113
parest,64bits,19195481,33,0.3274955704418139,0.9123471198318676
parest,64bits,19195481,34,0.36565825050177175,0.9472799515781716
parest,64bits,19195481,35,0.34287059542816356,0.9275392144281076
parest,64bits,19195481,36,0.40370355918666484,0.9730758535887768
parest,64bits,19195481,37,0.38156246254001136,0.9591380701052044
parest,64bits,19195481,38,0.33036786106063193,0.9153017732027948
parest,64bits,19195481,39,0.3696502317394391,0.9504031526935266
parest,64bits,19195481,40,0.41598530404109174,0.9795366269086907
parest,64bits,19195481,41,0.4038544801247752,0.9731607135945627
parest,64bits,19195481,42,0.3901992870092706,0.9649280349956415
parest,64bits,19195481,43,0.33212129459011736,0.9170790238226613
parest,64bits,19195481,44,0.37558548285401133,0.9548644288413914
parest,64bits,19195481,45,0.34852895845642,0.9327474246822188
parest,64bits,19195481,46,0.3877833538008243,0.9633541601143276
parest,64bits,19195481,47,0.3516850137800663,0.9355639195619605
parest,64bits,19195481,48,0.31834055109116566,0.9025677315199189
parest,64bits,19195481,49,0.3142093183286212,0.897972787905152
parest,64bits,19195481,50,0.26456534222820466,0.8335576875277175
parest,64bits,19195481,51,0.26235091478041106,0.8302732541526281
parest,64bits,19195481,52,0.3733515716537658,0.9532107998093023
parest,64bits,19195481,53,0.3507841246593404,0.9347663963122507
parest,64bits,19195481,54,0.3663644062891677,0.9478396287002275
parest,64bits,19195481,55,0.311710240550888,0.8951377832465218
parest,64bits,19195481,56,0.41183917193843694,0.977456119248884
parest,64bits,19195481,57,0.6394090359079827,0.9431726406216538
parest,64bits,19195481,58,0.6243882088706191,0.9548837202224658
parest,64bits,19195481,59,0.713348209404078,0.8643567780263701
parest,64bits,19195481,60,0.7276903350325006,0.844759371536691
parest,64bits,19195481,61,0.7276903350325006,0.844759371536691
parest,64bits,19195481,62,0.0,0.0
parest,64bits,19195481,63,0.39942140548600996,0.9706111320044057
perlbench,32bits,10686177,0,0.429365057307211,0.9855556667909673
perlbench,32bits,10686177,1,0.2767483637974553,0.8509823063342911
perlbench,32bits,10686177,2,0.07763412490734525,0.39378752215926255
perlbench,32bits,10686177,3,0.43325718823485704,0.9871082874256184
perlbench,32bits,10686177,4,0.18735727472977473,0.6959102315944881
perlbench,32bits,10686177,5,0.2773422150877718,0.8518040680527079
perlbench,32bits,10686177,6,0.3996728671067305,0.9707589123014488
