bench,addr,generation,alloc_type,alloc_size,offset,writes,pct_of_buffer,pct_of_bench
leela,0x6198060,83,object,4135600,1341552,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6598060,69,object,4135600,286944,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6198060,77,object,4135600,776072,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6198060,83,object,4135600,1780800,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6598060,69,object,4135600,1738232,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6198060,77,object,4135600,540144,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6198060,83,object,4135600,1805752,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6598060,69,object,4135600,1324672,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6198060,77,object,4135600,1290912,3,0.0011176431142007734,4.118774755123395e-06
leela,0x6598060,58,object,4118720,945264,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,64,object,4118720,2000264,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,56,object,4118720,8424,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,68,object,4135600,2042464,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,58,object,4118720,75944,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,56,object,4118720,1797312,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,68,object,4135600,151880,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,64,object,4118720,962120,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,58,object,4118720,843960,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,68,object,4135600,919920,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,56,object,4118720,202544,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,64,object,4118720,624152,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,58,object,4118720,1823024,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,68,object,4135600,818272,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,56,object,4118720,2050512,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,64,object,4118720,405104,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,58,object,4118720,1501912,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,68,object,4135600,1029272,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,56,object,4118720,1645760,3,0.0011221497396612604,4.118774755123395e-06
leela,0x6598060,64,object,4118720,936800,3,0.0011221497396612604,4.118774755123395e-06
mcf,0x4c4eaa0,1,64bits,136352,8688,84674,0.045957632852670065,0.01491113753425433
mcf,0x4c4eaa0,1,64bits,136352,2864,84594,0.04591421207854562,0.014897049490666683
mcf,0x4c4eaa0,1,64bits,136352,5904,84494,0.04585993611089006,0.014879439436182126
mcf,0x4c4eaa0,1,64bits,136352,7632,84060,0.04562437841126492,0.014803011799719146
mcf,0x4c4eaa0,1,64bits,136352,15120,84052,0.045620036333852476,0.014801602995360381
mcf,0x5c5c060,1,64bits,151373088,7373104,657014,0.5422491119229984,0.11570052337117148
