bench,addr,generation,alloc_type,alloc_size,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32,site
wrf,0xce32fc0,15,32bits,667968,7109850,0.6701065423321168,0.6700857261404952,0.6702235630850158,0.6703899519680443,1.0,solve_em_
wrf,0xce32fc0,35,32bits,667968,7109850,0.6523926665119517,0.652360879624746,0.6525262839581707,0.6527236158287446,1.0,solve_em_
wrf,0xce32fc0,33,32bits,667968,7109850,0.6543319479313909,0.6543032553429398,0.6544517816831579,0.6546410965069587,1.0,solve_em_
wrf,0xce32fc0,31,32bits,667968,7109850,0.6563677152119947,0.6563370535243359,0.6564841733651202,0.6566678621911854,1.0,solve_em_
wrf,0xce32fc0,27,32bits,667968,7109850,0.6614672602094278,0.661440536720184,0.6615906102097794,0.661767547838562,1.0,solve_em_
wrf,0xce32fc0,9,32bits,667968,7109850,0.691878169019037,0.6918580560771325,0.6919724044811072,0.6921383714143055,1.0,solve_em_
wrf,0xce32fc0,11,32bits,667968,7109850,0.6842337039459342,0.6842082463061808,0.68433356540574,0.68448715514392,1.0,solve_em_
wrf,0xd1a5180,34,32bits,667968,7109850,0.6534042209048011,0.6533718714178217,0.6535303839040205,0.6537123849307651,1.0,solve_em_
wrf,0xd1a5180,15,32bits,667968,7109850,0.6694084966630801,0.6693819138237797,0.6695198914182438,0.6696972509968565,1.0,solve_em_
wrf,0xd1a5180,30,32bits,667968,7109850,0.6572422765599837,0.6572111929224949,0.6573650639605617,0.6575375007911559,1.0,solve_em_
wrf,0xd1a5180,11,32bits,667968,7109850,0.680956419615041,0.6809309619752878,0.6810565623747337,0.6812212634584415,1.0,solve_em_
wrf,0xcd68640,68,32bits,667968,7109850,0.727385247227438,0.7273666814349107,0.7274675274443202,0.7276133814356139,1.0,solve_em_
wrf,0xd127060,3,32bits,667968,7109850,0.730740732926855,0.7307225890841579,0.7308194968951525,0.730963100487352,1.0,solve_em_
wrf,0xd127060,5,32bits,667968,7109850,0.7195199617432154,0.7195050528492162,0.7196037891094749,0.7197634267952208,1.0,solve_em_
wrf,0xd127060,7,32bits,667968,7109850,0.7118469447316047,0.7118283789390775,0.7119321785972981,0.7120804236376295,1.0,solve_em_
wrf,0x6c0e3a0,1,32bits,667968,7050372,0.0236862679018922,0.0236859842289172,0.0236974729844042,0.0238017228027116,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x8ad64e0,1,32bits,667968,6838152,0.4088239044700966,0.4082502114606402,0.4095526101203951,0.409625144337242,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x617ee80,1,32bits,667968,6596934,0.0314098943539529,0.0314082269126839,0.0314976623989265,0.032030788848274,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5d7ee80,1,32bits,667968,4703160,0.0722954354093843,0.0722950101633795,0.0723075549205215,0.0724134411757201,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5a22020,1,32bits,667968,4703160,0.0919770962501807,0.0919768836271783,0.091992405106354,0.0920961651315285,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x6ac8060,1,32bits,667968,4543692,0.04462076214673,0.0446205420613897,0.0446352877791892,0.0447292642194937,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x69f7880,1,32bits,667968,4543692,0.0446218625734314,0.0446216424880911,0.0446335270964669,0.0447325654995981,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5595ec0,1,32bits,667968,4487046,0.0447276448692525,0.0447274220054797,0.0447425767420258,0.0448357337990294,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5164360,1,32bits,667968,4476516,0.0448328566233204,0.0448321864592911,0.0448446961878389,0.0449543797006421,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xb856880,1,32bits,667968,4187832,0.2035074472901491,0.2035069697160726,0.2035189090679855,0.2036058275499112,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb9ca200,1,32bits,667968,4187832,0.2035072085031109,0.2035072085031109,0.2035181927068707,0.2036046336147199,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0x6ec8060,1,32bits,667968,3968832,0.0420761070259461,0.0420758550626481,0.0420912248238272,0.0753130895941173,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x6dfd0a0,1,32bits,667968,3951312,0.042263177395255,0.0422626712342634,0.042282917673927,0.0424380560178492,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xaf49f60,1,32bits,667968,3714792,0.044954333916946,0.044953257140642,0.0449694087852025,0.0450727793103893,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb5ca200,1,32bits,667968,3714792,0.0555519663012087,0.0555514279130567,0.055562195676097,0.0556556060204716,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb35d720,1,32bits,667968,3714792,0.04495406472287,0.044953526334718,0.0449694087852025,0.0450743944748454,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb4008c0,1,32bits,667968,3714792,0.04495406472287,0.044953257140642,0.0449675244266704,0.045061473159197,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xafed100,1,32bits,667968,3714792,0.0449551414991741,0.0449546031110221,0.0449739850844946,0.0451285024841229,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
