bench,alloc_type,site,min_e,max_e,exp_range,required_e_bits,total
wrf,32bits,__module_advect_em_MOD_advect_scalar_pd,-126,14,141,8,72727569
wrf,32bits,__module_ra_rrtm_MOD_rrtm,-40,74,115,7,48123060
wrf,32bits,__module_em_MOD_rk_update_scalar,-126,-1,126,7,46027393
wrf,32bits,__module_small_step_em_MOD_advance_mu_t,-36,5,42,6,45833050
wrf,32bits,__module_ra_rrtm_MOD_rtrn,-30,0,31,5,43798306
wrf,32bits,__module_alloc_space_1_MOD_alloc_space_field_core_1,-126,11,138,8,32323452
wrf,32bits,__module_advect_em_MOD_advect_w,-60,20,81,7,31532617
wrf,32bits,__module_advect_em_MOD_advect_u,-29,28,58,6,31074840
wrf,32bits,__module_advect_em_MOD_advect_v,-27,28,56,6,31044420
wrf,32bits,__module_mp_wsm5_MOD_wsm5,-126,8,135,8,27376391
wrf,32bits,__module_big_step_utilities_em_MOD_horizontal_pressure_gradient,-2,11,14,4,20963610
x264,32bits,x264_frame_new,-126,127,254,8,34841056
x264,32bits,x264_macroblock_cache_allocate,-126,127,254,8,1850174
x264,32bits,x264_cqm_init,-118,-118,1,1,6658
x264,32bits,x264_frame_pop_blank_unused,-118,4,123,7,4273
xz,64bits,sha_process,-1022,1023,2046,11,21006816
xz,64bits,spec_mem_init,-1022,1023,2046,11,17710505
xz,64bits,lzma_alloc,-1022,1023,2046,11,2179825
